sentiment,text
4.0000,stir funny finally transport reimagine beauty beast horror film
1.0000,apparently reassemble cuttingroom floor give daytime soap
1.0000,presume audience will not sit sociology lesson entertainingly present trot conventional sciencefiction element bugeye monster futuristic woman skimpy clothe
2.0000,entire movie fill deja vu moment
3.0000,visually stunning rumination love memory history war art commerce
2.0000,um
3.0000,jonathan parker bartleby beallendall modernoffice anomie film
3.0000,campanella get tone right funny middle sad middle hopeful
1.0000,fan film uninitiated play well video sound turn
4.0000,berle superb huppert magnificent
1.0000,little extreme past long exposition sequence few gag break tedium
1.0000,film strictly routine
3.0000,lyrical metaphor cultural personal selfdiscovery picaresque view littleremembere world
1.0000,repugnant adaptation classic text roland demi moore scarlet letter
1.0000,splendidlooke particular film viewer expect special instead get lrb scifi rrb rehash
4.0000,stunning film oneofakind tour de force
3.0000,genial ingenious get job
3.0000,freedom watch stunt crude fastpace insane
1.0000,tuxedo actually suit fit chan like bargainbasement special
4.0000,quiet patient tenacious mr lopez approach difficult endless work remarkable serenity discipline
0.0000,final verdict see
1.0000,blue crush follow formula throw conflict story compelling
1.0000,sense good intention derail failure seek strike right tone
4.0000,slick engross melodrama
1.0000,wretche movie reduce second world war man quest find old flame
2.0000,eccentric stave doldrums caruso selfconscious debut eminently forgettable
1.0000,undoubtedly play european market mr besson brand asia ms shu institution american audience probably find familiar insufficiently cathartic
2.0000,lrb jaglom rrb well effort wry bitter movie love
0.0000,lack inspiration original bloated plot stretch run time minute past child interest adult patience
3.0000,santa clause prove streamline think encounter original hope
4.0000,film moody ooze chill heartwarme twist unpredictable catandmouse thriller
1.0000,bad
4.0000,strong act absolutely inescapably gorgeous skyscrapertrapeze motion amazing spiderman
1.0000,goode offer desperately ingratiate performance
2.0000,end simply admire bit performance
1.0000,wellintentione effort burden actor offbeat sensibility earnest emotional core emerge degree accessibility
2.0000,analyze regurgitate water previous film success new swing throw
2.0000,neat twist subtly render wrap thing minute kang tack ending
3.0000,fun ride
2.0000,incessant lounge music play film background mistake love liza adam sandler chanukah song
3.0000,edgy thriller deliver surprising punch
3.0000,russian word wow
2.0000,tykwer heaven allow want antikieslowski pun possible
2.0000,shallower movie day long egregiously short
3.0000,ottosallie real filmmaker eye
1.0000,lurid lucid work
2.0000,portrait artist
